Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,2018-12-19 13:03,6.38,0.043
2,2018-12-19 13:18,6.31,0.044
3,2018-12-19 13:33,6.25,0.044
4,2018-12-19 13:48,6.31,0.044
5,2018-12-19 14:03,6.31,0.04
6,2018-12-19 14:18,6.31,0.039
7,2018-12-19 14:33,6.31,0.039
8,2018-12-19 14:48,6.31,0.039
9,2018-12-19 15:03,6.31,0.039
10,2018-12-19 15:18,6.31,0.039
11,2018-12-19 15:33,6.31,0.039
12,2018-12-19 15:48,6.31,0.039
13,2018-12-19 16:03,6.31,0.039
14,2018-12-19 16:18,6.25,0.038
15,2018-12-19 16:33,6.25,0.037
16,2018-12-19 16:48,6.25,0.037
17,2018-12-19 17:03,6.25,0.037
18,2018-12-19 17:18,6.25,0.036
19,2018-12-19 17:33,6.25,0.036
20,2018-12-19 17:48,6.25,0.036
21,2018-12-19 18:03,6.25,0.036
22,2018-12-19 18:18,6.25,0.036
23,2018-12-19 18:33,6.25,0.034
24,2018-12-19 18:48,6.25,0.035
25,2018-12-19 19:03,6.25,0.035
26,2018-12-19 19:18,6.25,0.035
27,2018-12-19 19:33,6.25,0.035
28,2018-12-19 19:48,6.25,0.036
29,2018-12-19 20:03,6.25,0.036
30,2018-12-19 20:18,6.25,0.036
31,2018-12-19 20:33,6.25,0.036
32,2018-12-19 20:48,6.25,0.035
33,2018-12-19 21:03,6.25,0.035
34,2018-12-19 21:18,6.25,0.035
35,2018-12-19 21:33,6.25,0.034
36,2018-12-19 21:48,6.25,0.034
37,2018-12-19 22:03,6.25,0.034
38,2018-12-19 22:18,6.25,0.034
39,2018-12-19 22:33,6.25,0.034
40,2018-12-19 22:48,6.19,0.029
41,2018-12-19 23:03,6.19,0.029
42,2018-12-19 23:18,6.19,0.03
43,2018-12-19 23:33,6.19,0.029
44,2018-12-19 23:48,6.19,0.029
45,2018-12-20 0:03,6.19,0.029
46,2018-12-20 0:18,6.19,0.03
47,2018-12-20 0:33,6.13,0.031
48,2018-12-20 0:48,6.19,0.03
