"month","mean_flow","min_flow","max_flow","variance_flow"
1,59.1209971133333,5.29552335,106.2741403,2582.56026677695
2,50.9665819033333,32.89177367,70.61643799,357.648156319388
3,37.1682129736,5.793018178,73.56037722,636.11863323557
4,16.58424123,12.47575953,25.58756935,37.5367136692247
5,5.19002773583333,0,22.07618334,70.856543023924
6,3.2709315935,0,9.155178376,16.2461903720454
7,0,0,0,NA
8,0,0,0,0
9,0,0,0,0
10,0,0,0,NA
11,9.83720350975,0,31.17820882,217.252401099775
12,53.9175343566667,45.03985774,59.59657693,60.6479632015067
