"month","mean_flow","min_flow","max_flow","variance_flow"
1,23.216333713,8.478764479,40.89385475,269.167006772242
2,11.290290247,1.622222222,25.63380753,160.53392657394
3,4.25001111125,0,11.29666041,23.8987675765913
4,0.1828708134,0,0.914354067,0.167208671967888
5,1.5453780555,0,4.133763094,3.271792533419
6,0.49427153275,0,1.722488038,0.684855945888063
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,NA
11,3.34246499,0,8.388912763,16.8318011623412
12,14.72162036175,2.389937107,21.42857143,79.5882999106777
