"month","mean_flow","min_flow","max_flow","variance_flow"
1,7.35763205066667,5.29313994,10.36866359,7.1121877479428
2,3.404623257,2.576382123,4.232864391,1.37196675209921
3,3.50712437766667,2.400243811,4.629787331,1.24290288969017
4,2.1077925095,0.516323731,4.802635085,3.47042503023127
5,2.70228792483333,0.083951543,10.95860566,17.6312626722686
6,0.29462650725,0,0.950186231,0.202588229547803
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,NA
11,2.09709755,0,3.532199629,3.44778705749532
12,5.65802130166667,3.453831942,7.078421169,3.74515624234022
