"day","month","year","DOY","Temperature.degC.","Pressure.psi.","depth_cm","flow_m3_s","flow_L_s"
1,1,2021,1,5.38784722222222,0.0342013888888889,2.40466168923611,0.00237370671577668,2.37370671577668
2,1,2021,2,5.71409722222222,0.0627534722222222,4.41212697559028,0.0059788430652501,5.9788430652501
3,1,2021,3,5.66076388888889,0.158652777777778,11.1547007009722,0.0245297912065606,24.5297912065606
4,1,2021,4,5.74086805555556,0.150510416666667,10.5822203292708,0.022639601771928,22.639601771928
5,1,2021,5,5.44739583333333,0.121524305555556,8.54423903163195,0.0163481943985611,16.3481943985611
6,1,2021,6,5.65006944444444,0.185357638888889,13.0322898432986,0.031083108607304,31.083108607304
7,1,2021,7,5.53579861111111,0.199989583333333,14.0610456157292,0.0348935943296536,34.8935943296536
8,1,2021,8,5.43805555555556,0.193326388888889,13.5925638104861,0.0331396254381319,33.1396254381319
9,1,2021,9,5.23583333333333,0.171888888888889,12.0853169811111,0.0277114748431045,27.7114748431045
10,1,2021,10,5.38847222222222,0.164604166666667,11.5731362477083,0.0259439092679736,25.9439092679736
11,1,2021,11,5.78364583333333,0.183326388888889,12.8894749104861,0.0305661617925656,30.5661617925656
12,1,2021,12,6.26270833333333,0.33775,23.7468275975,0.0774701891756217,77.4701891756217
13,1,2021,13,5.93649305555556,0.287065972222222,20.1832898637153,0.060486806184061,60.486806184061
14,1,2021,14,5.60763888888889,0.217628472222222,15.3012163143403,0.0396840325939641,39.6840325939641
15,1,2021,15,5.82100694444444,0.181048611111111,12.7293268832639,0.0299900211969555,29.9900211969555
16,1,2021,16,5.67371527777778,0.161111111111111,11.3275433888889,0.0251106226713567,25.1106226713567
17,1,2021,17,5.63177083333333,0.150184027777778,10.5592722887847,0.0225649214326434,22.5649214326434
18,1,2021,18,5.50427083333333,0.140475694444444,9.87669014836806,0.0203826895504634,20.3826895504634
19,1,2021,19,5.14746527777778,0.133315972222222,9.37329802621528,0.0188227540005781,18.8227540005781
20,1,2021,20,5.23732638888889,0.127392361111111,8.95681550420139,0.0175646992102714,17.5646992102714
21,1,2021,21,5.04003472222222,0.121864583333333,8.56816358447917,0.0164179167490847,16.4179167490847
22,1,2021,22,4.32975694444445,0.116107638888889,8.16339921079861,0.0152521339175769,15.2521339175769
