"day","month","year","DOY","Temperature.degC.","Pressure.psi.","depth_cm","flow_m3_s","flow_L_s"
1,1,2020,1,6.32177083333333,0.124604166666667,8.76078064770833,0.0169829466786992,16.9829466786992
2,1,2020,2,5.2650495049505,0.131811881188119,9.26754705514851,0.018500493769954,18.500493769954
3,1,2020,3,5.9375,0.210385416666667,14.7919651180208,0.0376914004826048,37.6914004826048
4,1,2020,4,5.64416666666667,0.195520833333333,13.7468527635417,0.0337138451944447,33.7138451944447
5,1,2020,5,5.5175,0.175083333333333,12.3099148241667,0.0284990955453359,28.4990955453359
6,1,2020,6,5.44510416666667,0.20315625,14.2836904340625,0.0357379821661868,35.7379821661868
7,1,2020,7,6.0771875,0.299895833333333,21.0853431572917,0.0646489505468561,64.6489505468561
8,1,2020,8,5.57,0.249354166666667,17.5318146752083,0.0488165847268245,48.8165847268245
9,1,2020,9,4.9321875,0.191927083333333,13.4941801901042,0.0327752395896872,32.7752395896872
10,1,2020,10,4.36729166666667,0.22328125,15.6986568453125,0.0412634573879381,41.2634573879381
11,1,2020,11,4.86864583333333,0.273447916666667,19.2258194936458,0.0561740390842617,56.1740390842617
12,1,2020,12,4.45041666666667,0.245614583333333,17.2688887219792,0.0477066913423375,47.7066913423375
13,1,2020,13,3.09625,0.205333333333333,14.4367587466667,0.0363225036683076,36.3225036683076
14,1,2020,14,2.26989583333333,0.1740625,12.238141165625,0.0282465767273239,28.2465767273239
15,1,2020,15,1.6725,0.15934375,11.2032821909375,0.0246925762356316,24.6925762356316
16,1,2020,16,2.51604166666667,0.15,10.5463335,0.022522851756493,22.522851756493
17,1,2020,17,2.51385416666667,0.13671875,9.6125435546875,0.0195588275873012,19.5588275873012
18,1,2020,18,2.5175,0.161666666666667,11.3666038833333,0.025242528689848,25.242528689848
19,1,2020,19,3.2159375,0.19753125,13.8882029278125,0.0342428724332391,34.2428724332391
20,1,2020,20,3.66989583333333,0.24759375,17.4080417334375,0.0482930096102854,48.2930096102854
21,1,2020,21,4.03385416666667,0.30046875,21.1256242921875,0.0648370179727812,64.8370179727812
