"day","month","year","DOY","Temperature.degC.","Pressure.psi.","depth_cm","flow_m3_s","flow_L_s"
20,11,2018,324,5.345,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
21,11,2018,325,6.156875,0.00301041666666667,0.211659054270833,5.87600534352189e-05,0.0587600534352189
22,11,2018,326,6.7646875,0.0040625,0.285629865625,9.27248196453769e-05,0.0927248196453769
23,11,2018,327,6.304375,0.0166770833333333,1.17254721760417,0.000795571602026416,0.795571602026416
24,11,2018,328,5.72239583333333,0.02065625,1.4523180090625,0.00110184584018292,1.10184584018292
25,11,2018,329,6.08770833333333,0.0256354166666667,1.80239769052083,0.00153062055563434,1.53062055563434
26,11,2018,330,7.045625,0.0770104166666667,5.41451691427083,0.00816471030924359,8.16471030924359
27,11,2018,331,8.00625,0.098875,6.95179149875,0.0119435691886413,11.9435691886413
28,11,2018,332,7.67760416666667,0.0738229166666667,5.19040732739583,0.00765595704410683,7.65595704410683
29,11,2018,333,7.35083333333333,0.0616041666666667,4.33132057770833,0.00581298275695478,5.81298275695478
30,11,2018,334,6.77447916666667,0.0561145833333333,3.94535406697917,0.0050431950146745,5.0431950146745
1,12,2018,335,6.65635416666667,0.081875,5.75654036875,0.00896249198829316,8.96249198829316
2,12,2018,336,6.12,0.0773229166666667,5.43648844239583,0.008215189851341,8.215189851341
3,12,2018,337,5.10739583333333,0.0669375,4.706301324375,0.00659601209104685,6.59601209104685
4,12,2018,338,4.2278125,0.0620104166666667,4.35988356427083,0.00587142717572817,5.87142717572817
5,12,2018,339,3.72510416666667,0.05628125,3.9570722153125,0.00506601050450395,5.06601050450395
6,12,2018,340,3.05510416666667,0.0485104166666667,3.41071354927083,0.00404066977941584,4.04066977941584
7,12,2018,341,2.53989583333333,0.0382291666666667,2.68785027395833,0.00281201358965394,2.81201358965394
8,12,2018,342,3.22427083333333,0.0328229166666667,2.30774283739583,0.00222963685774605,2.22963685774605
9,12,2018,343,4.49947916666667,0.0598020833333333,4.20461809885417,0.00555615959250215,5.55615959250215
10,12,2018,344,5.13416666666667,0.0629166666666667,4.42360099583333,0.00600252373439599,6.00252373439599
11,12,2018,345,5.73541666666667,0.0934791666666667,6.57241644645833,0.0109658034309775,10.9658034309775
12,12,2018,346,5.57489583333333,0.0885104166666667,6.22306914927083,0.0100910866727569,10.0910866727569
13,12,2018,347,6.24385416666667,0.128572916666667,9.03981905489584,0.0178130388423001,17.8130388423001
14,12,2018,348,6.45270833333333,0.106104166666667,7.46006618270833,0.0132977221378313,13.2977221378313
15,12,2018,349,5.78416666666667,0.076,5.34347564,0.00800222520578884,8.00222520578884
16,12,2018,350,6.22479166666667,0.0712083333333333,5.00657887541667,0.00724710229644704,7.24710229644704
17,12,2018,351,6.470625,0.0706770833333333,4.96922727760417,0.00716497270219082,7.16497270219082
18,12,2018,352,6.55541666666667,0.0897604166666667,6.31095526177083,0.0103087887212464,10.3087887212464
19,12,2018,353,6.25010416666667,0.0446354166666667,3.13826660052083,0.00355979364119497,3.55979364119497
20,12,2018,354,6.22864583333333,0.0384375,2.702497959375,0.00283537035735814,2.83537035735814
21,12,2018,355,4.63125,0.00311458333333333,0.218982896979167,6.18824093060118e-05,0.0618824093060118
22,12,2018,356,4.3225,0.00196875,0.1384206271875,3.07872239867775e-05,0.0307872239867775
23,12,2018,357,4.96864583333333,-0.0029375,-0.206532364375,NA,NA
24,12,2018,358,4.94697916666667,-0.000968750000000001,-0.0681117371875001,NA,NA
25,12,2018,359,4.345,0.002,0.14061778,3.15340778509196e-05,0.0315340778509196
26,12,2018,360,4.25104166666667,0.002,0.14061778,3.15340778509196e-05,0.0315340778509196
27,12,2018,361,4.0253125,0.002,0.14061778,3.15340778509196e-05,0.0315340778509196
28,12,2018,362,4.26197916666667,0.002,0.14061778,3.15340778509196e-05,0.0315340778509196
29,12,2018,363,5.33739583333333,0.00136458333333333,0.0959423394791667,1.76231110289314e-05,0.0176231110289314
30,12,2018,364,4.64885416666667,-0.0063125,-0.443824868125,NA,NA
31,12,2018,365,3.759375,0.00208333333333333,0.146476854166667,3.35554694261538e-05,0.0335554694261538
