"day","month","year","DOY","Temperature.degC.","Pressure.psi.","depth_cm","flow_m3_s","flow_L_s"
1,1,2019,1,3.49010416666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
2,1,2019,2,3.66510416666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
3,1,2019,3,5.20791666666667,0.0326041666666667,2.29236276770833,0.00220706003709009,2.20706003709009
4,1,2019,4,5.7721875,0.00316666666666667,0.222644818333334,6.34642657192194e-05,0.0634642657192194
5,1,2019,5,5.54447916666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
6,1,2019,6,4.82239583333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
7,1,2019,7,3.49520833333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
8,1,2019,8,2.79604166666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
9,1,2019,9,3.84239583333333,0.00298958333333333,0.210194285729167,5.81422604477457e-05,0.0581422604477457
10,1,2019,10,5.30385416666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
11,1,2019,11,5.70322916666667,0.00298958333333333,0.210194285729167,5.81422604477457e-05,0.0581422604477457
12,1,2019,12,5.25125,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
13,1,2019,13,5.07197916666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
14,1,2019,14,4.7090625,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
15,1,2019,15,3.9540625,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
16,1,2019,16,3.61322916666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
17,1,2019,17,4.3171875,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
18,1,2019,18,5.223125,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
19,1,2019,19,5.11197916666667,0.00298958333333333,0.210194285729167,5.81422604477457e-05,0.0581422604477457
20,1,2019,20,4.3225,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
21,1,2019,21,3.83239583333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
22,1,2019,22,4.30666666666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
23,1,2019,23,4.529375,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
24,1,2019,24,4.66135416666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
25,1,2019,25,4.60614583333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
26,1,2019,26,4.74666666666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
27,1,2019,27,4.64697916666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
28,1,2019,28,4.09125,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
29,1,2019,29,3.39520833333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
30,1,2019,30,3.4334375,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
31,1,2019,31,4.1371875,0.00298958333333333,0.210194285729167,5.81422604477457e-05,0.0581422604477457
1,2,2019,32,4.77760416666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
2,2,2019,33,4.47489583333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
3,2,2019,34,2.54979166666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
4,2,2019,35,0.438541666666667,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
5,2,2019,36,-0.141770833333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
6,2,2019,37,-0.0742708333333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
7,2,2019,38,0.113958333333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
8,2,2019,39,0.57125,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
9,2,2019,40,-0.403020833333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
10,2,2019,41,-0.9096875,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
11,2,2019,42,-0.810104166666667,0.0113854166666667,0.800496008020834,0.00044501592426168,0.44501592426168
12,2,2019,43,-0.395729166666667,-0.00861458333333334,-0.605681791979167,NA,NA
13,2,2019,44,0.1465625,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
14,2,2019,45,0.116458333333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
15,2,2019,46,0.4775,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
16,2,2019,47,0.8559375,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
17,2,2019,48,1.00625,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
18,2,2019,49,1.0665625,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
19,2,2019,50,1.190625,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
20,2,2019,51,1.236875,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
21,2,2019,52,1.22125,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
22,2,2019,53,1.27239583333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
23,2,2019,54,1.22020833333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
24,2,2019,55,1.16239583333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
25,2,2019,56,0.873125,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
26,2,2019,57,0.1534375,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
27,2,2019,58,0.377395833333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
28,2,2019,59,0.881770833333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
1,3,2019,60,0.991770833333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
2,3,2019,61,1.145625,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
3,3,2019,62,0.684895833333333,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
4,3,2019,63,0.2734375,0.003,0.21092667,5.84508770036958e-05,0.0584508770036958
