"day","month","year","DOY","Temperature.degC.","Pressure.psi.","depth_cm","flow_m3_s","flow_L_s"
18,1,2023,18,5.49172131147541,0.18566393442623,13.053825142541,0.0311613175647586,31.1613175647586
19,1,2023,19,5.04277777777778,0.176836805555556,12.4331995097569,0.0289346392587643,28.9346392587643
20,1,2023,20,5.14934027777778,0.167670138888889,11.7887013514236,0.0266829654652107,26.6829654652107
21,1,2023,21,4.77184027777778,0.166649305555556,11.7169276928819,0.0264361021680356,26.4361021680356
22,1,2023,22,4.4521875,0.163225694444444,11.4762173958681,0.0256139535198846,25.6139535198846
23,1,2023,23,4.69239583333333,0.157694444444444,11.0873213480556,0.0243046310579832,24.3046310579832
24,1,2023,24,5.07822916666667,0.155569444444444,10.9379149568056,0.0238079097676999,23.8079097676999
25,1,2023,25,5.30840277777778,0.150878472222222,10.6080979068403,0.0227239172380499,22.7239172380499
26,1,2023,26,5.254375,0.148489583333333,10.4401377807292,0.0221785820451982,22.1785820451982
27,1,2023,27,5.44045138888889,0.144336805555556,10.1481605847569,0.0212414623471795,21.2414623471795
28,1,2023,28,5.03010416666667,0.138972222222222,9.77098268527778,0.0200515939423787,20.0515939423787
29,1,2023,29,3.51,0.131284722222222,9.23048309340278,0.0183879993041788,18.3879993041788
30,1,2023,30,2.73621527777778,0.12653125,8.8962717378125,0.017384312942571,17.384312942571
31,1,2023,31,3.02149305555556,0.123125,8.65678208125,0.0166770589799603,16.6770589799603
1,2,2023,32,3.00684027777778,0.121378472222222,8.53398565184028,0.0163183445571479,16.3183445571479
2,2,2023,33,3.20270833333333,0.120097222222222,8.44390238652778,0.0160568980923039,16.0568980923039
3,2,2023,34,3.70309027777778,0.122243055555556,8.59477354631944,0.0164955845339011,16.4955845339011
4,2,2023,35,4.63666666666667,0.122989583333333,8.64726108572917,0.0166491505576337,16.6491505576337
5,2,2023,36,5.03597222222222,0.123045138888889,8.65116713517361,0.0166605982273995,16.6605982273995
6,2,2023,37,5.26336805555556,0.118798611111111,8.35259848076389,0.0157933906207862,15.7933906207862
7,2,2023,38,5.33208333333333,0.131097222222222,9.21730017652778,0.0183480440167233,18.3480440167233
8,2,2023,39,4.6896875,0.127232638888889,8.94558561204861,0.0175311922402181,17.5311922402181
9,2,2023,40,4.83552083333333,0.134204861111111,9.43579481732639,0.0190140991364426,19.0140991364426
10,2,2023,41,5.04774305555556,0.130909722222222,9.20411725965278,0.0183081185480941,18.3081185480941
11,2,2023,42,4.9003125,0.124822916666667,8.77616071739583,0.0170283452397929,17.0283452397929
12,2,2023,43,5.0190625,0.122055555555556,8.58159062944445,0.0164570912024629,16.4570912024629
13,2,2023,44,4.75677083333333,0.118625,8.34039207625,0.0157582757994812,15.7582757994812
14,2,2023,45,3.72947916666667,0.110003472222222,7.73422202809028,0.0140485989046473,14.0485989046473
15,2,2023,46,3.56465277777778,0.105329861111111,7.40562561857639,0.0131503067230283,13.1503067230283
16,2,2023,47,3.88388888888889,0.103482638888889,7.27574947454861,0.0128009089784247,12.8009089784247
17,2,2023,48,4.07361111111111,0.102732638888889,7.22301780704861,0.0126599716683064,12.6599716683064
18,2,2023,49,4.34076388888889,0.0995972222222222,7.00257014152778,0.0120766021764591,12.0766021764591
19,2,2023,50,4.70815972222222,0.0959583333333333,6.74672390291667,0.0114114897831359,11.4114897831359
20,2,2023,51,5.35475694444444,0.0945138888888889,6.64516661736111,0.0111510775381401,11.1510775381401
21,2,2023,52,4.65184027777778,0.0916770833333333,6.44571396760417,0.0106456798484569,10.6456798484569
22,2,2023,53,2.78850694444444,0.0868854166666667,6.10881720302083,0.00981046620004628,9.81046620004628
23,2,2023,54,1.25899305555556,0.0818020833333333,5.75141367885417,0.00895034641687153,8.95034641687153
24,2,2023,55,0.636802030456853,0.0780456852791878,5.48730550126904,0.00833235002070642,8.33235002070642
8,3,2023,67,3.00006896551724,0.153310344827586,10.7790801703448,0.0232837133996539,23.2837133996539
