Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,11-20-2018 14:02:40,5.19,0.003
2,11-20-2018 14:17:40,5,0.003
3,11-20-2018 14:32:40,5,0.003
4,11-20-2018 14:47:40,5.06,0.003
5,11-20-2018 15:02:40,5.06,0.003
6,11-20-2018 15:17:40,5.13,0.003
7,11-20-2018 15:32:40,5.13,0.003
8,11-20-2018 15:47:40,5.19,0.003
9,11-20-2018 16:02:40,5.19,0.003
10,11-20-2018 16:17:40,5.19,0.003
11,11-20-2018 16:32:40,5.25,0.003
12,11-20-2018 16:47:40,5.25,0.003
13,11-20-2018 17:02:40,5.25,0.003
14,11-20-2018 17:17:40,5.25,0.003
15,11-20-2018 17:32:40,5.31,0.003
16,11-20-2018 17:47:40,5.31,0.003
17,11-20-2018 18:02:40,5.38,0.003
18,11-20-2018 18:17:40,5.38,0.003
19,11-20-2018 18:32:40,5.38,0.003
20,11-20-2018 18:47:40,5.38,0.003
21,11-20-2018 19:02:40,5.38,0.003
22,11-20-2018 19:17:40,5.44,0.003
23,11-20-2018 19:32:40,5.38,0.003
24,11-20-2018 19:47:40,5.44,0.003
25,11-20-2018 20:02:40,5.44,0.003
26,11-20-2018 20:17:40,5.44,0.003
27,11-20-2018 20:32:40,5.44,0.003
28,11-20-2018 20:47:40,5.5,0.003
29,11-20-2018 21:02:40,5.5,0.003
30,11-20-2018 21:17:40,5.44,0.003
31,11-20-2018 21:32:40,5.44,0.003
32,11-20-2018 21:47:40,5.5,0.003
33,11-20-2018 22:02:40,5.5,0.003
34,11-20-2018 22:17:40,5.5,0.003
35,11-20-2018 22:32:40,5.5,0.003
36,11-20-2018 22:47:40,5.5,0.003
37,11-20-2018 23:02:40,5.5,0.003
38,11-20-2018 23:17:40,5.56,0.003
39,11-20-2018 23:32:40,5.56,0.003
40,11-20-2018 23:47:40,5.56,0.003
41,11-21-2018 0:02:40,5.56,0.003
42,11-21-2018 0:17:40,5.56,0.003
43,11-21-2018 0:32:40,5.56,0.003
44,11-21-2018 0:47:40,5.56,0.003
45,11-21-2018 1:02:40,5.56,0.003
46,11-21-2018 1:17:40,5.56,0.003
47,11-21-2018 1:32:40,5.56,0.003
48,11-21-2018 1:47:40,5.56,0.003
49,11-21-2018 2:02:40,5.56,0.003
50,11-21-2018 2:17:40,5.63,0.003
51,11-21-2018 2:32:40,5.63,0.003
52,11-21-2018 2:47:40,5.63,0.003
53,11-21-2018 3:02:40,5.63,0.003
54,11-21-2018 3:17:40,5.63,0.003
55,11-21-2018 3:32:40,5.69,0.003
56,11-21-2018 3:47:40,5.69,0.003
57,11-21-2018 4:02:40,5.69,0.003
58,11-21-2018 4:17:40,5.75,0.003
59,11-21-2018 4:32:40,5.75,0.003
60,11-21-2018 4:47:40,5.75,0.003
61,11-21-2018 5:02:40,5.75,0.003
62,11-21-2018 5:17:40,5.75,0.003
63,11-21-2018 5:32:40,5.75,0.003
64,11-21-2018 5:47:40,5.75,0.003
65,11-21-2018 6:02:40,5.75,0.003
66,11-21-2018 6:17:40,5.75,0.003
67,11-21-2018 6:32:40,5.75,0.003
68,11-21-2018 6:47:40,5.75,0.003
69,11-21-2018 7:02:40,5.75,0.003
70,11-21-2018 7:17:40,5.81,0.003
71,11-21-2018 7:32:40,5.81,0.003
72,11-21-2018 7:47:40,5.81,0.003
73,11-21-2018 8:02:40,5.81,0.003
74,11-21-2018 8:17:40,5.81,0.003
75,11-21-2018 8:32:40,5.81,0.003
76,11-21-2018 8:47:40,5.81,0.003
77,11-21-2018 9:02:40,5.88,0.003
78,11-21-2018 9:17:40,5.88,0.003
79,11-21-2018 9:32:40,5.94,0.003
80,11-21-2018 9:47:40,5.88,0.003
81,11-21-2018 10:02:40,5.94,0.003
82,11-21-2018 10:17:40,5.88,0.003
83,11-21-2018 10:32:40,5.94,0.003
84,11-21-2018 10:47:40,5.94,0.003
85,11-21-2018 11:02:40,5.94,0.003
86,11-21-2018 11:17:40,5.94,0.003
87,11-21-2018 11:32:40,5.94,0.004
88,11-21-2018 11:47:40,6,0.003
89,11-21-2018 12:02:40,6,0.003
90,11-21-2018 12:17:40,6.06,0.003
91,11-21-2018 12:32:40,6.06,0.003
92,11-21-2018 12:47:40,6.06,0.003
93,11-21-2018 13:02:40,6.06,0.003
94,11-21-2018 13:17:40,6.13,0.003
95,11-21-2018 13:32:40,6.13,0.003
96,11-21-2018 13:47:40,6.19,0.003
97,11-21-2018 14:02:40,6.31,0.003
98,11-21-2018 14:17:40,6.38,0.003
99,11-21-2018 14:32:40,6.38,0.003
100,11-21-2018 14:47:40,6.44,0.003
101,11-21-2018 15:02:40,6.44,0.003
102,11-21-2018 15:17:40,6.44,0.003
103,11-21-2018 15:32:40,6.5,0.003
104,11-21-2018 15:47:40,6.5,0.003
105,11-21-2018 16:02:40,6.5,0.003
106,11-21-2018 16:17:40,6.5,0.003
107,11-21-2018 16:32:40,6.5,0.003
108,11-21-2018 16:47:40,6.56,0.003
109,11-21-2018 17:02:40,6.63,0.003
110,11-21-2018 17:17:40,6.69,0.003
111,11-21-2018 17:32:40,6.69,0.003
112,11-21-2018 17:47:40,6.69,0.003
113,11-21-2018 18:02:40,6.69,0.003
114,11-21-2018 18:17:40,6.69,0.003
115,11-21-2018 18:32:40,6.75,0.003
116,11-21-2018 18:47:40,6.75,0.003
117,11-21-2018 19:02:40,6.69,0.003
118,11-21-2018 19:17:40,6.75,0.003
119,11-21-2018 19:32:40,6.75,0.003
120,11-21-2018 19:47:40,6.75,0.003
121,11-21-2018 20:02:40,6.75,0.003
122,11-21-2018 20:17:40,6.75,0.003
123,11-21-2018 20:32:40,6.75,0.003
124,11-21-2018 20:47:40,6.75,0.003
125,11-21-2018 21:02:40,6.75,0.003
126,11-21-2018 21:17:40,6.75,0.003
127,11-21-2018 21:32:40,6.75,0.003
128,11-21-2018 21:47:40,6.75,0.003
129,11-21-2018 22:02:40,6.75,0.003
130,11-21-2018 22:17:40,6.75,0.003
131,11-21-2018 22:32:40,6.75,0.003
132,11-21-2018 22:47:40,6.81,0.003
133,11-21-2018 23:02:40,6.81,0.003
134,11-21-2018 23:17:40,6.81,0.003
135,11-21-2018 23:32:40,6.81,0.003
136,11-21-2018 23:47:40,6.88,0.003
137,11-22-2018 0:02:40,6.88,0.003
138,11-22-2018 0:17:40,6.88,0.006
139,11-22-2018 0:32:40,6.94,0.012
140,11-22-2018 0:47:40,6.94,0.019
141,11-22-2018 1:02:40,7,0.026
142,11-22-2018 1:17:40,7,0.03
143,11-22-2018 1:32:40,7,0.03
144,11-22-2018 1:47:40,7,0.03
145,11-22-2018 2:02:40,7,0.029
146,11-22-2018 2:17:40,7.06,0.029
147,11-22-2018 2:32:40,7.06,0.019
148,11-22-2018 2:47:40,7,0.018
149,11-22-2018 3:02:40,7,0.017
150,11-22-2018 3:17:40,7.06,0.017
151,11-22-2018 3:32:40,7,0.017
152,11-22-2018 3:47:40,7,0.016
153,11-22-2018 4:02:40,7,0.016
154,11-22-2018 4:17:40,7,0.016
155,11-22-2018 4:32:40,7,0.016
156,11-22-2018 4:47:40,6.94,0.015
157,11-22-2018 5:02:40,6.94,0.003
158,11-22-2018 5:17:40,6.94,0.001
159,11-22-2018 5:32:40,6.88,0
160,11-22-2018 5:47:40,6.88,-0.001
161,11-22-2018 6:02:40,6.81,-0.001
162,11-22-2018 6:17:40,6.81,-0.001
163,11-22-2018 6:32:40,6.81,-0.002
164,11-22-2018 6:47:40,6.75,-0.004
165,11-22-2018 7:02:40,6.75,-0.004
166,11-22-2018 7:17:40,6.75,-0.005
167,11-22-2018 7:32:40,6.69,-0.006
168,11-22-2018 7:47:40,6.69,-0.007
169,11-22-2018 8:02:40,6.63,-0.007
170,11-22-2018 8:17:40,6.63,-0.007
171,11-22-2018 8:32:40,6.69,-0.007
172,11-22-2018 8:47:40,6.69,-0.007
173,11-22-2018 9:02:40,6.69,-0.007
174,11-22-2018 9:17:40,6.69,-0.006
175,11-22-2018 9:32:40,6.69,-0.006
176,11-22-2018 9:47:40,6.75,-0.006
177,11-22-2018 10:02:40,6.75,-0.006
178,11-22-2018 10:17:40,6.75,-0.006
179,11-22-2018 10:32:40,6.75,-0.006
180,11-22-2018 10:47:40,6.75,-0.006
181,11-22-2018 11:02:40,6.75,-0.006
182,11-22-2018 11:17:40,6.75,-0.006
183,11-22-2018 11:32:40,6.81,-0.006
184,11-22-2018 11:47:40,6.81,-0.007
185,11-22-2018 12:02:40,6.81,-0.007
186,11-22-2018 12:17:40,6.81,-0.008
187,11-22-2018 12:32:40,6.81,-0.008
188,11-22-2018 12:47:40,6.81,-0.007
189,11-22-2018 13:02:40,6.81,-0.008
190,11-22-2018 13:17:40,6.81,-0.008
191,11-22-2018 13:32:40,6.81,-0.008
192,11-22-2018 13:47:40,6.81,-0.008
193,11-22-2018 14:02:40,6.81,-0.006
194,11-22-2018 14:17:40,6.81,-0.005
195,11-22-2018 14:32:40,6.81,-0.004
196,11-22-2018 14:47:40,6.88,-0.003
197,11-22-2018 15:02:40,6.88,0
198,11-22-2018 15:17:40,6.88,0.001
199,11-22-2018 15:32:40,6.88,0.002
200,11-22-2018 15:47:40,6.88,0.003
201,11-22-2018 16:02:40,6.88,0.005
202,11-22-2018 16:17:40,6.88,0.009
203,11-22-2018 16:32:40,6.88,0.015
204,11-22-2018 16:47:40,6.88,0.016
205,11-22-2018 17:02:40,6.88,0.016
206,11-22-2018 17:17:40,6.88,0.014
207,11-22-2018 17:32:40,6.81,0.011
208,11-22-2018 17:47:40,6.81,0.011
209,11-22-2018 18:02:40,6.75,0.009
210,11-22-2018 18:17:40,6.69,0.009
211,11-22-2018 18:32:40,6.69,0.008
212,11-22-2018 18:47:40,6.63,0.007
213,11-22-2018 19:02:40,6.56,0.008
214,11-22-2018 19:17:40,6.56,0.008
215,11-22-2018 19:32:40,6.56,0.007
216,11-22-2018 19:47:40,6.5,0.005
217,11-22-2018 20:02:40,6.5,0.004
218,11-22-2018 20:17:40,6.5,0.004
219,11-22-2018 20:32:40,6.5,0.004
220,11-22-2018 20:47:40,6.5,0.003
221,11-22-2018 21:02:40,6.5,0.003
222,11-22-2018 21:17:40,6.44,0.002
223,11-22-2018 21:32:40,6.44,0.003
224,11-22-2018 21:47:40,6.44,0.003
225,11-22-2018 22:02:40,6.44,0.003
226,11-22-2018 22:17:40,6.44,0.003
227,11-22-2018 22:32:40,6.44,0.004
228,11-22-2018 22:47:40,6.44,0.004
229,11-22-2018 23:02:40,6.44,0.004
230,11-22-2018 23:17:40,6.44,0.004
231,11-22-2018 23:32:40,6.38,0.003
232,11-22-2018 23:47:40,6.38,0.003
233,11-23-2018 0:02:40,6.38,0.003
234,11-23-2018 0:17:40,6.38,0.002
235,11-23-2018 0:32:40,6.38,0.002
236,11-23-2018 0:47:40,6.38,0.002
237,11-23-2018 1:02:40,6.38,0.002
238,11-23-2018 1:17:40,6.38,0.002
239,11-23-2018 1:32:40,6.38,0.002
240,11-23-2018 1:47:40,6.38,0.002
241,11-23-2018 2:02:40,6.38,0.002
242,11-23-2018 2:17:40,6.38,0.002
243,11-23-2018 2:32:40,6.38,0.002
244,11-23-2018 2:47:40,6.31,0.002
245,11-23-2018 3:02:40,6.31,0.003
246,11-23-2018 3:17:40,6.38,0.003
247,11-23-2018 3:32:40,6.31,0.003
248,11-23-2018 3:47:40,6.38,0.003
249,11-23-2018 4:02:40,6.38,0.003
250,11-23-2018 4:17:40,6.38,0.003
251,11-23-2018 4:32:40,6.38,0.003
252,11-23-2018 4:47:40,6.38,0.004
253,11-23-2018 5:02:40,6.38,0.005
254,11-23-2018 5:17:40,6.44,0.008
255,11-23-2018 5:32:40,6.38,0.01
256,11-23-2018 5:47:40,6.44,0.02
257,11-23-2018 6:02:40,6.44,0.02
258,11-23-2018 6:17:40,6.44,0.021
259,11-23-2018 6:32:40,6.38,0.021
260,11-23-2018 6:47:40,6.44,0.022
261,11-23-2018 7:02:40,6.38,0.022
262,11-23-2018 7:17:40,6.38,0.022
263,11-23-2018 7:32:40,6.38,0.022
264,11-23-2018 7:47:40,6.38,0.022
265,11-23-2018 8:02:40,6.31,0.022
266,11-23-2018 8:17:40,6.31,0.021
267,11-23-2018 8:32:40,6.25,0.022
268,11-23-2018 8:47:40,6.25,0.022
269,11-23-2018 9:02:40,6.25,0.022
270,11-23-2018 9:17:40,6.25,0.022
271,11-23-2018 9:32:40,6.25,0.022
272,11-23-2018 9:47:40,6.25,0.021
273,11-23-2018 10:02:40,6.25,0.021
274,11-23-2018 10:17:40,6.25,0.021
275,11-23-2018 10:32:40,6.25,0.021
276,11-23-2018 10:47:40,6.31,0.021
277,11-23-2018 11:02:40,6.31,0.021
278,11-23-2018 11:17:40,6.31,0.021
279,11-23-2018 11:32:40,6.31,0.021
280,11-23-2018 11:47:40,6.31,0.02
281,11-23-2018 12:02:40,6.31,0.021
282,11-23-2018 12:17:40,6.31,0.02
283,11-23-2018 12:32:40,6.31,0.02
284,11-23-2018 12:47:40,6.31,0.02
285,11-23-2018 13:02:40,6.38,0.02
286,11-23-2018 13:17:40,6.38,0.02
287,11-23-2018 13:32:40,6.38,0.02
288,11-23-2018 13:47:40,6.38,0.02
289,11-23-2018 14:02:40,6.38,0.02
290,11-23-2018 14:17:40,6.38,0.02
291,11-23-2018 14:32:40,6.38,0.02
292,11-23-2018 14:47:40,6.38,0.02
293,11-23-2018 15:02:40,6.38,0.02
294,11-23-2018 15:17:40,6.38,0.02
295,11-23-2018 15:32:40,6.38,0.02
296,11-23-2018 15:47:40,6.38,0.02
297,11-23-2018 16:02:40,6.38,0.021
298,11-23-2018 16:17:40,6.38,0.021
299,11-23-2018 16:32:40,6.44,0.02
300,11-23-2018 16:47:40,6.38,0.02
301,11-23-2018 17:02:40,6.38,0.02
302,11-23-2018 17:17:40,6.38,0.021
303,11-23-2018 17:32:40,6.31,0.021
304,11-23-2018 17:47:40,6.31,0.021
305,11-23-2018 18:02:40,6.25,0.021
306,11-23-2018 18:17:40,6.25,0.021
307,11-23-2018 18:32:40,6.25,0.021
308,11-23-2018 18:47:40,6.25,0.021
309,11-23-2018 19:02:40,6.25,0.022
310,11-23-2018 19:17:40,6.25,0.022
311,11-23-2018 19:32:40,6.19,0.021
312,11-23-2018 19:47:40,6.19,0.021
313,11-23-2018 20:02:40,6.19,0.021
314,11-23-2018 20:17:40,6.19,0.021
315,11-23-2018 20:32:40,6.19,0.022
316,11-23-2018 20:47:40,6.19,0.022
317,11-23-2018 21:02:40,6.19,0.021
318,11-23-2018 21:17:40,6.19,0.021
319,11-23-2018 21:32:40,6.13,0.022
320,11-23-2018 21:47:40,6.19,0.021
321,11-23-2018 22:02:40,6.13,0.021
322,11-23-2018 22:17:40,6.13,0.021
323,11-23-2018 22:32:40,6.13,0.021
324,11-23-2018 22:47:40,6.06,0.021
325,11-23-2018 23:02:40,6.06,0.021
326,11-23-2018 23:17:40,6,0.021
327,11-23-2018 23:32:40,6,0.021
328,11-23-2018 23:47:40,5.94,0.021
329,11-24-2018 0:02:40,5.94,0.021
330,11-24-2018 0:17:40,5.94,0.021
331,11-24-2018 0:32:40,5.94,0.021
332,11-24-2018 0:47:40,5.94,0.02
333,11-24-2018 1:02:40,5.88,0.02
334,11-24-2018 1:17:40,5.88,0.02
335,11-24-2018 1:32:40,5.81,0.02
336,11-24-2018 1:47:40,5.81,0.021
337,11-24-2018 2:02:40,5.81,0.021
338,11-24-2018 2:17:40,5.75,0.021
339,11-24-2018 2:32:40,5.75,0.02
340,11-24-2018 2:47:40,5.69,0.02
341,11-24-2018 3:02:40,5.69,0.021
342,11-24-2018 3:17:40,5.63,0.021
343,11-24-2018 3:32:40,5.63,0.021
344,11-24-2018 3:47:40,5.56,0.021
345,11-24-2018 4:02:40,5.56,0.021
346,11-24-2018 4:17:40,5.5,0.021
347,11-24-2018 4:32:40,5.5,0.021
348,11-24-2018 4:47:40,5.44,0.021
349,11-24-2018 5:02:40,5.44,0.021
350,11-24-2018 5:17:40,5.38,0.021
351,11-24-2018 5:32:40,5.38,0.021
352,11-24-2018 5:47:40,5.38,0.021
353,11-24-2018 6:02:40,5.38,0.021
354,11-24-2018 6:17:40,5.31,0.021
355,11-24-2018 6:32:40,5.38,0.021
356,11-24-2018 6:47:40,5.31,0.021
