Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,2022-11-23 13:31,5.13,0.01
2,2022-11-23 13:36,4.94,0.011
3,2022-11-23 13:41,4.94,0.011
4,2022-11-23 13:46,4.94,0.011
5,2022-11-23 13:51,4.94,0.011
6,2022-11-23 13:56,4.94,0.011
7,2022-11-23 14:01,4.94,0.011
8,2022-11-23 14:06,4.94,0.011
9,2022-11-23 14:11,4.94,0.011
10,2022-11-23 14:16,4.94,0.011
11,2022-11-23 14:21,4.94,0.011
12,2022-11-23 14:26,5,0.011
13,2022-11-23 14:31,5,0.011
14,2022-11-23 14:36,5,0.011
15,2022-11-23 14:41,4.94,0.011
16,2022-11-23 14:46,5,0.011
17,2022-11-23 14:51,5,0.011
18,2022-11-23 14:56,5,0.011
19,2022-11-23 15:01,5,0.011
20,2022-11-23 15:06,5,0.011
21,2022-11-23 15:11,5,0.011
22,2022-11-23 15:16,5,0.011
23,2022-11-23 15:21,5,0.011
24,2022-11-23 15:26,5,0.011
25,2022-11-23 15:31,5,0.011
26,2022-11-23 15:36,5,0.011
27,2022-11-23 15:41,5.06,0.011
28,2022-11-23 15:46,5.06,0.011
29,2022-11-23 15:51,5.06,0.011
30,2022-11-23 15:56,5.06,0.011
31,2022-11-23 16:01,5.06,0.011
32,2022-11-23 16:06,5.06,0.011
33,2022-11-23 16:11,5.06,0.011
34,2022-11-23 16:16,5.06,0.011
35,2022-11-23 16:21,5.06,0.011
36,2022-11-23 16:26,5.06,0.011
37,2022-11-23 16:31,5.06,0.011
38,2022-11-23 16:36,5.13,0.011
39,2022-11-23 16:41,5.13,0.011
40,2022-11-23 16:46,5.13,0.011
41,2022-11-23 16:51,5.13,0.011
42,2022-11-23 16:56,5.13,0.011
43,2022-11-23 17:01,5.13,0.011
44,2022-11-23 17:06,5.13,0.011
45,2022-11-23 17:11,5.13,0.011
46,2022-11-23 17:16,5.13,0.011
47,2022-11-23 17:21,5.13,0.011
48,2022-11-23 17:26,5.13,0.011
49,2022-11-23 17:31,5.13,0.011
50,2022-11-23 17:36,5.13,0.011
51,2022-11-23 17:41,5.13,0.011
52,2022-11-23 17:46,5.13,0.011
53,2022-11-23 17:51,5.13,0.011
54,2022-11-23 17:56,5.13,0.011
55,2022-11-23 18:01,5.13,0.011
56,2022-11-23 18:06,5.13,0.011
57,2022-11-23 18:11,5.19,0.011
58,2022-11-23 18:16,5.19,0.011
59,2022-11-23 18:21,5.19,0.011
60,2022-11-23 18:26,5.19,0.011
61,2022-11-23 18:31,5.19,0.011
62,2022-11-23 18:36,5.19,0.011
63,2022-11-23 18:41,5.19,0.011
64,2022-11-23 18:46,5.25,0.011
65,2022-11-23 18:51,5.19,0.011
66,2022-11-23 18:56,5.25,0.011
67,2022-11-23 19:01,5.31,0.011
68,2022-11-23 19:06,5.31,0.011
69,2022-11-23 19:11,5.31,0.011
70,2022-11-23 19:16,5.31,0.011
71,2022-11-23 19:21,5.38,0.011
72,2022-11-23 19:26,5.38,0.011
73,2022-11-23 19:31,5.38,0.011
74,2022-11-23 19:36,5.38,0.011
75,2022-11-23 19:41,5.31,0.011
76,2022-11-23 19:46,5.25,0.011
77,2022-11-23 19:51,5.25,0.011
78,2022-11-23 19:56,5.25,0.011
79,2022-11-23 20:01,5.25,0.011
80,2022-11-23 20:06,5.25,0.011
81,2022-11-23 20:11,5.25,0.011
82,2022-11-23 20:16,5.25,0.011
83,2022-11-23 20:21,5.25,0.011
84,2022-11-23 20:26,5.25,0.011
85,2022-11-23 20:31,5.25,0.011
86,2022-11-23 20:36,5.31,0.011
87,2022-11-23 20:41,5.25,0.011
88,2022-11-23 20:46,5.25,0.011
89,2022-11-23 20:51,5.25,0.011
90,2022-11-23 20:56,5.25,0.011
91,2022-11-23 21:01,5.25,0.011
92,2022-11-23 21:06,5.25,0.011
93,2022-11-23 21:11,5.25,0.011
94,2022-11-23 21:16,5.25,0.011
95,2022-11-23 21:21,5.25,0.011
96,2022-11-23 21:26,5.25,0.011
97,2022-11-23 21:31,5.25,0.011
98,2022-11-23 21:36,5.25,0.011
99,2022-11-23 21:41,5.25,0.011
100,2022-11-23 21:46,5.25,0.011
101,2022-11-23 21:51,5.25,0.011
102,2022-11-23 21:56,5.25,0.011
103,2022-11-23 22:01,5.25,0.011
104,2022-11-23 22:06,5.25,0.011
105,2022-11-23 22:11,5.25,0.011
106,2022-11-23 22:16,5.25,0.011
107,2022-11-23 22:21,5.25,0.011
108,2022-11-23 22:26,5.25,0.011
109,2022-11-23 22:31,5.25,0.011
110,2022-11-23 22:36,5.25,0.011
111,2022-11-23 22:41,5.25,0.011
112,2022-11-23 22:46,5.25,0.011
113,2022-11-23 22:51,5.25,0.011
114,2022-11-23 22:56,5.19,0.011
115,2022-11-23 23:01,5.25,0.011
116,2022-11-23 23:06,5.19,0.011
117,2022-11-23 23:11,5.19,0.011
118,2022-11-23 23:16,5.19,0.011
119,2022-11-23 23:21,5.19,0.011
120,2022-11-23 23:26,5.19,0.011
121,2022-11-23 23:31,5.19,0.011
122,2022-11-23 23:36,5.19,0.011
123,2022-11-23 23:41,5.19,0.011
124,2022-11-23 23:46,5.19,0.011
125,2022-11-23 23:51,5.19,0.011
126,2022-11-23 23:56,5.19,0.011
127,2022-11-24 0:01,5.13,0.011
128,2022-11-24 0:06,5.13,0.011
129,2022-11-24 0:11,5.13,0.011
130,2022-11-24 0:16,5.13,0.011
131,2022-11-24 0:21,5.13,0.011
132,2022-11-24 0:26,5.13,0.011
133,2022-11-24 0:31,5.13,0.011
134,2022-11-24 0:36,5.13,0.011
135,2022-11-24 0:41,5.06,0.011
136,2022-11-24 0:46,5.06,0.011
137,2022-11-24 0:51,5.06,0.011
138,2022-11-24 0:56,5.06,0.011
139,2022-11-24 1:01,5.06,0.011
140,2022-11-24 1:06,5.06,0.011
141,2022-11-24 1:11,5.06,0.011
142,2022-11-24 1:16,5.06,0.011
143,2022-11-24 1:21,5.06,0.011
144,2022-11-24 1:26,5.06,0.011
145,2022-11-24 1:31,5.06,0.011
146,2022-11-24 1:36,5.06,0.011
147,2022-11-24 1:41,5.06,0.011
148,2022-11-24 1:46,5.06,0.011
149,2022-11-24 1:51,5.06,0.011
150,2022-11-24 1:56,5.06,0.011
151,2022-11-24 2:01,5.06,0.011
152,2022-11-24 2:06,5.06,0.011
153,2022-11-24 2:11,5.06,0.011
154,2022-11-24 2:16,5.06,0.011
155,2022-11-24 2:21,5.06,0.011
156,2022-11-24 2:26,5,0.011
157,2022-11-24 2:31,5.06,0.011
158,2022-11-24 2:36,5,0.011
159,2022-11-24 2:41,5,0.011
160,2022-11-24 2:46,5,0.011
161,2022-11-24 2:51,5,0.011
162,2022-11-24 2:56,5,0.011
163,2022-11-24 3:01,5,0.011
164,2022-11-24 3:06,5,0.011
165,2022-11-24 3:11,5,0.011
166,2022-11-24 3:16,5,0.011
167,2022-11-24 3:21,5.06,0.011
168,2022-11-24 3:26,5,0.011
169,2022-11-24 3:31,5,0.011
170,2022-11-24 3:36,5,0.011
171,2022-11-24 3:41,5,0.011
172,2022-11-24 3:46,5,0.011
173,2022-11-24 3:51,5,0.011
174,2022-11-24 3:56,5,0.011
175,2022-11-24 4:01,5,0.011
176,2022-11-24 4:06,5.06,0.011
177,2022-11-24 4:11,5,0.011
178,2022-11-24 4:16,5,0.011
